"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"1324","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","9.92","1.8","2101372","1.8","0.03","True"
"16920","unsecapp","C:\WINDOWS\system32\wbem\unsecapp.exe","01-06-2026 10:49:44","9.86","1.69","2101337.02","1.69","0.02","True"
"5852","svchost",,,"9.84","1.9","2101340.7","1.9",,"True"
"11516","svchost",,,"9.75","1.85","2101331.49","1.85",,"True"
"4100","svchost",,,"9.62","1.91","2101378.73","1.91",,"True"
"6608","RstMwService",,,"9.61","2.17","2101342.19","2.17",,"True"
"4704","svchost",,,"9.43","1.65","2101336.57","1.65",,"True"
"3000","svchost",,,"9.27","1.77","2101336.69","1.77",,"True"
"7344","conhost",,,"9.15","1.61","2101331.98","1.61",,"True"
"3968","svchost",,,"8.92","1.51","2101328.95","1.51",,"True"
"1128","wininit",,,"8.89","1.63","2101333.94","1.63",,"True"
"5484","unsecapp",,,"8.88","1.66","2101316.83","1.66",,"True"
"10784","wlanext",,,"8.66","1.5","2101318.56","1.5",,"True"
"6944","jhi_service",,,"8.66","1.39","2101326.02","1.39",,"True"
"3016","svchost",,,"8.62","1.41","2101327.45","1.41",,"True"
"5304","svchost",,,"8.46","1.8","2101331.7","1.8",,"True"
"17248","RtkAudUService64","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_5b7acb8ae279027d\RtkAudUService64.exe","01-06-2026 10:49:21","8.32","7.49","4257.16","7.49","0.58","True"
"8548","OmenInstallMonitor",,"01-06-2026 10:48:51","8.22","35.2","4752.79","35.2","0.59","True"
"5952","ETDService",,,"8.18","1.55","4172.06","1.55",,"True"
"1556","WUDFHost",,,"8.13","1.94","2101321.78","1.94",,"True"
"5896","armsvc",,,"7.96","1.76","69.67","1.76",,"True"
"5976","esif_uf",,,"7.86","1.79","2101318.12","1.79",,"True"
"2216","svchost",,,"7.84","1.75","2101336.45","1.75",,"True"
"4680","wsl","C:\WINDOWS\System32\wsl.exe","01-06-2026 11:01:43","7.58","1.2","2101315.29","1.2","0.02","True"
"12300","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:42","7.57","1.3","2101344.4","1.3","0.03","True"
"9676","wsl","C:\WINDOWS\System32\wsl.exe","01-06-2026 11:01:43","7.57","1.18","2101314.79","1.18","0.02","True"
"3752","svchost",,,"7.45","1.47","2101332.45","1.47",,"True"
"2564","svchost",,,"7.45","2.25","2101340.54","2.25",,"True"
"5052","ibtsiva",,,"7.44","1.33","2101311.55","1.33",,"True"
"20412","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:02:04","7.43","1.26","2101343.39","1.26","0.02","True"
"9608","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","7.39","155.42","2250054.54","155.42","2.92","True"
"6536","svchost",,,"7.39","1.35","2101327.76","1.35",,"True"
"10204","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","7.38","14.46","2249524.57","14.46","0.62","True"
"2400","IntelCpHDCPSvc",,,"7.16","1.3","2101320.79","1.3",,"True"
"5936","ELAN_MOC_Service",,,"7.15","1.32","4163.88","1.32",,"True"
"1136","csrss",,,"7","4.38","2101417.01","4.38",,"True"
"1936","svchost",,,"6.74","1.32","2101327.86","1.32",,"True"
"1900","svchost",,,"6.74","1.19","2101325.46","1.19",,"True"
"9936","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 10:48:53","6.6","1.24","2101341.39","1.24","0.03","True"
"1044","csrss",,,"6.56","2.4","2101361.34","2.4",,"True"
"1464","fontdrvhost",,,"4.61","2.05","2101321.81","2.05",,"True"
"4","System",,,"4.01","0.06","8.56","0.06",,"True"
